,index,Images__clean,neon_sites,true_name
0,0,20210716T185919_20210716T190844_T10TER,ABBY_kmlwithImages.csv,S2B_MSIL2A_20210716T185919_N0301_R013_T10TER_20210716T214658
1,1,20210719T190919_20210719T191700_T10TER,ABBY_kmlwithImages.csv,S2B_MSIL2A_20210719T190919_N0301_R056_T10TER_20210719T215339
2,15,20210724T190921_20210724T191630_T10TER,ABBY_kmlwithImages.csv,S2A_MSIL2A_20210724T190921_N0301_R056_T10TER_20210724T233407
3,0,20190826T153819_20190826T154455_T18TYN,HOPB_CLEARIMAGE.csv,S2B_MSIL2A_20190826T153819_N0213_R011_T18TYN_20190826T195901
4,0,20190822T173909_20190822T175453_T13SCS,JORNCLEARIMAGES.csv,S2B_MSIL2A_20190822T173909_N0213_R098_T13SCS_20190822T220238
5,1,20190825T174909_20190825T180034_T13SCS,JORNCLEARIMAGES.csv,S2B_MSIL2A_20190825T174909_N0213_R141_T13SCS_20190825T214149
6,2,20210824T174909_20210824T175326_T13SCS,JORNCLEARIMAGES.csv,S2B_MSIL2A_20210824T174909_N0301_R141_T13SCS_20210824T214914
7,3,20210826T173911_20210826T175436_T13SCS,JORNCLEARIMAGES.csv,S2A_MSIL2A_20210826T173911_N0301_R098_T13SCS_20210826T234856
8,0,20210422T162829_20210422T163638_T16SCA,LENOCLEARIMAGES.csv,S2B_MSIL2A_20210422T162829_N0300_R083_T16SCA_20210422T204151
9,0,20200713T170901_20200713T171937_T14SQJ,MCDICLEARIMAGES.csv,S2A_MSIL2A_20200713T170901_N0214_R112_T14SQJ_20200713T213310
10,1,20200713T170901_20200713T171937_T15STD,MCDICLEARIMAGES.csv,S2A_MSIL2A_20200713T170901_N0214_R112_T15STD_20200713T213310
11,0,20200627T173909_20200627T174744_T13TGM,NOGPCLEARIMAGES.csv,S2B_MSIL2A_20200627T173909_N0214_R098_T13TGM_20200627T213600
12,1,20200627T173909_20200627T174744_T14TLS,NOGPCLEARIMAGES.csv,S2B_MSIL2A_20200627T173909_N0214_R098_T14TLS_20200627T213600
13,2,20210612T173909_20210612T174342_T13TGM,NOGPCLEARIMAGES.csv,S2B_MSIL2A_20210612T173909_N0300_R098_T13TGM_20210612T215521
14,3,20210612T173909_20210612T174342_T14TLS,NOGPCLEARIMAGES.csv,S2B_MSIL2A_20210612T173909_N0300_R098_T14TLS_20210612T215521
15,0,20210808T154809_20210808T155521_T18SUJ,SERCCLEARIMAGES.csv,S2B_MSIL2A_20210808T154809_N0301_R054_T18SUJ_20210808T201351
16,0,20210401T183919_20210401T184709_T10SGG,SJERCLEARIMAGES.csv,S2B_MSIL2A_20210401T183919_N0300_R070_T10SGG_20210401T224235
17,1,20210401T183919_20210401T184709_T11SKB,SJERCLEARIMAGES.csv,S2B_MSIL2A_20210401T183919_N0300_R070_T11SKB_20210401T224235
18,0,20190606T165901_20190606T170333_T15TYL,STEI_CLEARImages.csv,S2A_MSIL2A_20190606T165901_N0212_R069_T15TYL_20190606T212006
19,1,20190608T164849_20190608T165019_T15TYL,STEI_CLEARImages.csv,S2B_MSIL2A_20190608T164849_N0212_R026_T15TYL_20190608T212115
20,0,20190606T165901_20190606T170333_T15TYM,UNDECLEARIMAGES.csv,S2A_MSIL2A_20190606T165901_N0212_R069_T15TYM_20190606T212006
21,1,20190606T165901_20190606T170333_T16TCS,UNDECLEARIMAGES.csv,S2A_MSIL2A_20190606T165901_N0212_R069_T16TCS_20190606T212006
22,2,20200806T164901_20200806T165818_T15TYM,UNDECLEARIMAGES.csv,S2A_MSIL2A_20200806T164901_N0214_R026_T15TYM_20200806T211742
23,3,20200806T164901_20200806T165818_T16TCS,UNDECLEARIMAGES.csv,S2A_MSIL2A_20200806T164901_N0214_R026_T16TCS_20200806T211742
24,0,20210716T185919_20210716T190844_T10TER,WREFCLEARIMAGES.csv,S2B_MSIL2A_20210716T185919_N0301_R013_T10TER_20210716T214658
